sample_barcode	missing_fraction	retained
TCGA-AR-A1AR-01A	0.15259852622160697	True
TCGA-AR-A1AS-01A	0.15671767774392045	True
TCGA-AR-A1AT-01A	0.16460357387039867	True
TCGA-AR-A1AU-01A	0.14538579061542486	True
TCGA-AR-A1AW-01A	0.15226511129305906	True
TCGA-AR-A1AX-01A	0.15474462104650083	True
TCGA-AR-A1AY-01A	0.15397861079926733	True
TCGA-AR-A24H-01A	0.13981269677811448	True
TCGA-AR-A24K-01A	0.14012711971706157	True
TCGA-AR-A24L-01A	0.16403381418237375	True
TCGA-AR-A24M-01A	0.14321648335879666	True
TCGA-AR-A24N-01A	0.13547830270699157	True
TCGA-AR-A24O-01A	0.13573574967713617	True
TCGA-AR-A24P-01A	0.1368288441897173	True
TCGA-AR-A24Q-01A	0.14758253074592095	True
TCGA-AR-A24R-01A	0.14505237568687696	True
TCGA-AR-A24S-01A	0.1402073081175984	True
TCGA-AR-A24T-01A	0.13560702619206388	True
TCGA-AR-A24U-01A	0.14000472689518953	True
TCGA-AR-A24V-01A	0.1361092588059525	True
TCGA-AR-A24W-01A	0.13720868398173391	True
TCGA-AR-A24X-01A	0.13877235779220232	True
TCGA-AR-A24Z-01A	0.15015278000523335	True
TCGA-AR-A250-01A	0.15184939774290754	True
TCGA-AR-A251-01A	0.14371027508841827	True
TCGA-AR-A252-01A	0.13614513256408742	True
TCGA-AR-A254-01A	0.15077529521992725	True
TCGA-AR-A255-01A	0.137812207206827	True
TCGA-AR-A256-01A	0.14411121709110247	True
TCGA-AR-A2LE-01A	0.13567666348726692	True
TCGA-AR-A2LH-01A	0.13364452059997806	True
TCGA-AR-A2LJ-01A	0.13598475576301372	True
TCGA-AR-A2LK-01A	0.13680563175798297	True
TCGA-AR-A2LL-01A	0.13521874551578023	True
TCGA-AR-A2LM-01A	0.13444218416321294	True
TCGA-AR-A2LN-01A	0.1338175587274523	True
TCGA-AR-A2LO-01A	0.13403491149732846	True
TCGA-AR-A2LQ-01A	0.13426281537253842	True
TCGA-AR-A2LR-01A	0.13880823155033722	True
TCGA-AR-A5QM-01A	0.13429024824640629	True
TCGA-AR-A5QN-01A	0.14602096715651933	True
TCGA-AR-A5QP-01A	0.13840728954765302	True
TCGA-AR-A5QQ-01A	0.14588380278718	True
TCGA-B6-A0I1-01A	0.1441555317335044	True
TCGA-B6-A0IK-01A	0.18725679702205603	True
TCGA-B6-A0RE-01A	0.18597167239239984	True
TCGA-B6-A0RG-01A	0.1735614622987904	True
TCGA-B6-A0RI-01A	0.17034126495091625	True
TCGA-B6-A0RL-01A	0.16699445433903656	True
TCGA-B6-A0RM-01A	0.15928792700323285	True
TCGA-B6-A0RN-01A	0.16797148669294595	True
TCGA-B6-A0RO-01A	0.17114736939841818	True
TCGA-B6-A0RP-01A	0.17885600695528864	True
TCGA-B6-A0RS-01A	0.16680875488516178	True
TCGA-B6-A0RT-01A	0.1575026799807548	True
TCGA-B6-A0RU-01A	0.16064690937022563	True
TCGA-B6-A0RV-01A	0.1528179892125499	True
TCGA-B6-A0WT-01A	0.17560204607034632	True
TCGA-B6-A0WV-01A	0.21253935562289505	True
TCGA-B6-A0WW-01A	0.1862966464366807	True
TCGA-B6-A0WX-01A	0.19498231634746055	True
TCGA-B6-A0WY-01A	0.20222248482751054	True
TCGA-B6-A0WZ-01A	0.1795059550438504	True
TCGA-B6-A0X1-01A	0.17673101434106236	True
TCGA-B6-A0X4-01A	0.1661862396704679	True
TCGA-B6-A0X5-01A	0.17978450422466258	True
TCGA-B6-A0X7-01A	0.17284609735715914	True
TCGA-B6-A1KC-01A	0.1416612504325953	True
TCGA-B6-A1KC-01B	0.17608317647356736	True
TCGA-B6-A1KF-01A	0.1424631344379637	True
TCGA-B6-A1KI-01A	0.13868372850739843	True
TCGA-B6-A1KN-01A	0.14890352913371205	True
TCGA-B6-A2IU-01A	0.13585814249900818	True
TCGA-B6-A3ZX-01A	0.1499438681196242	True
TCGA-B6-A400-01A	0.14482025136953347	True
TCGA-B6-A401-01A	0.16648800128301441	True
TCGA-B6-A402-01A	0.15721568991567555	True
TCGA-B6-A408-01A	0.14322914468519723	True
TCGA-B6-A409-01A	0.1379451511340328	True
TCGA-B6-A40B-01A	0.14344860767614015	True
TCGA-B6-A40C-01A	0.14798347274860515	True
TCGA-BH-A0AU-01A	0.15268293506427733	True
TCGA-BH-A0AW-01A	0.16946130276607776	True
TCGA-BH-A0AZ-01A	0.16893374749938803	True
TCGA-BH-A0B2-01A	0.18305956732027248	True
TCGA-BH-A0B3-01A	0.16129263701665386	True
TCGA-BH-A0B5-01A	0.14465143368419275	True
TCGA-BH-A0B6-01A	0.14081505178482498	True
TCGA-BH-A0B8-01A	0.18800803572182223	True
TCGA-BH-A0B9-01A	0.1662052316600687	True
TCGA-BH-A0BA-01A	0.1696807657570207	True
TCGA-BH-A0BC-01A	0.1581188645322484	True
