sample_barcode	sample_class	sample_group_label	sample_type	PC1	PC2
TCGA-OL-A5S0-01A	tumor	Basal	Primary Tumor	5.287083806522422	-0.48180394660303427
TCGA-OL-A66I-01A	tumor	Basal	Primary Tumor	5.3180711589207705	1.9159691052063748
TCGA-OL-A6VO-01A	tumor	Basal	Primary Tumor	3.419608509528602	-2.288982376999686
TCGA-PL-A8LV-01A	tumor	Basal	Primary Tumor	3.1854517100430844	-1.872970345946639
TCGA-PL-A8LZ-01A	tumor	Basal	Primary Tumor	4.782012892525305	-0.9042592980505553
TCGA-S3-AA0Z-01A	tumor	Basal	Primary Tumor	4.0767052064558085	0.461614270140575
TCGA-S3-AA10-01A	tumor	Basal	Primary Tumor	3.956478156885815	-3.3504247495775603
TCGA-S3-AA15-01A	tumor	Basal	Primary Tumor	4.336521162966422	-2.5913709544560777
TCGA-3C-AAAU-01A	normal	non_basal	Primary Tumor	-3.158740189876612	-2.311399718487076
TCGA-3C-AALI-01A	normal	non_basal	Primary Tumor	-1.7132041988502202	-1.0729899130407452
TCGA-3C-AALJ-01A	normal	non_basal	Primary Tumor	-1.7610280880202507	1.6916312916194791
TCGA-3C-AALK-01A	normal	non_basal	Primary Tumor	-0.5055107195093907	2.5943385488391
TCGA-4H-AAAK-01A	normal	non_basal	Primary Tumor	-0.5597408685521823	-0.011215151132593438
TCGA-5L-AAT0-01A	normal	non_basal	Primary Tumor	-0.10521971834258424	-0.7718538065598414
TCGA-5L-AAT1-01A	normal	non_basal	Primary Tumor	0.5564682198312144	0.44099783137914794
TCGA-5T-A9QA-01A	normal	non_basal	Primary Tumor	-1.2738753435793517	7.942707640003013
TCGA-A1-A0SB-01A	normal	non_basal	Primary Tumor	4.826494511720357	-3.0990579545319035
TCGA-A1-A0SE-01A	normal	non_basal	Primary Tumor	-0.8546901798323665	0.0939305106587137
TCGA-A1-A0SF-01A	normal	non_basal	Primary Tumor	-0.8785703145255623	-1.2095802636003754
TCGA-A1-A0SG-01A	normal	non_basal	Primary Tumor	-2.5258635487994057	-3.534433970473791
TCGA-A1-A0SH-01A	normal	non_basal	Primary Tumor	0.7586000957050761	0.1729683592424487
TCGA-A1-A0SI-01A	normal	non_basal	Primary Tumor	-1.405422805919237	-2.623173990110819
TCGA-A1-A0SJ-01A	normal	non_basal	Primary Tumor	-0.5825993503747657	2.5520077655662368
TCGA-A1-A0SN-01A	normal	non_basal	Primary Tumor	-0.3598892802050913	3.845702967674965
TCGA-A1-A0SQ-01A	normal	non_basal	Primary Tumor	-5.184779719445696	-3.9084532268374645
TCGA-A2-A04R-01A	normal	non_basal	Primary Tumor	-6.949219139037901	-1.7455293397396876
TCGA-A2-A0CK-01A	normal	non_basal	Primary Tumor	-0.9686389838902737	1.4554826938448393
TCGA-A2-A0CO-01A	normal	non_basal	Primary Tumor	-1.6168161933765444	-0.635054125633051
TCGA-A2-A0CR-01A	normal	non_basal	Primary Tumor	2.661999655785489	0.8150872560752301
TCGA-A2-A0CT-01A	normal	non_basal	Primary Tumor	-3.364783987633391	5.998788826594294
TCGA-A2-A0EN-01A	normal	non_basal	Primary Tumor	1.5873132300665536	0.817431406520164
TCGA-A2-A0EP-01A	normal	non_basal	Primary Tumor	5.252049870604891	0.48778582324580966
TCGA-A2-A0EU-01A	normal	non_basal	Primary Tumor	-3.0831173380101324	-1.9477017916206132
TCGA-A2-A0SU-01A	normal	non_basal	Primary Tumor	1.8777664072865583	-0.8025108397406653
TCGA-A2-A0SV-01A	normal	non_basal	Primary Tumor	-1.3501403147673152	0.18308188298147623
TCGA-A2-A0SW-01A	normal	non_basal	Primary Tumor	-2.483963685232481	-3.53351998106178
