method	collection	direction	term	ONTOLOGY	TERM	N	DE	P.DE	FDR
missMethyl_gometh	GO	hypermethylated	GO:0000266	BP	mitochondrial fission	41	6	0.961621787650003	1
missMethyl_gometh	GO	hypermethylated	GO:0000268	MF	peroxisome targeting sequence binding	5	2	0.456630287419841	1
missMethyl_gometh	GO	hypermethylated	GO:0000270	BP	peptidoglycan metabolic process	6	2	0.171625452670206	0.978645111128352
missMethyl_gometh	GO	hypermethylated	GO:0000271	BP	polysaccharide biosynthetic process	65	17	0.528047317616826	1
missMethyl_gometh	GO	hypermethylated	GO:0000272	BP	polysaccharide catabolic process	29	1	0.999151116841374	1
missMethyl_gometh	GO	hypermethylated	GO:0000278	BP	mitotic cell cycle	924	189	0.989959455915935	1
missMethyl_gometh	GO	hypermethylated	GO:0000280	BP	nuclear division	445	83	0.950612586691816	1
missMethyl_gometh	GO	hypermethylated	GO:0000281	BP	mitotic cytokinesis	93	15	0.961379146162089	1
missMethyl_gometh	GO	hypermethylated	GO:0000285	MF	1-phosphatidylinositol-3-phosphate 5-kinase activity	3	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000287	MF	magnesium ion binding	226	39	0.994028734967698	1
missMethyl_gometh	GO	hypermethylated	GO:0000288	BP	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	58	6	0.998186057526123	1
missMethyl_gometh	GO	hypermethylated	GO:0000289	BP	nuclear-transcribed mRNA poly(A) tail shortening	32	4	0.985286899680736	1
missMethyl_gometh	GO	hypermethylated	GO:0000290	BP	deadenylation-dependent decapping of nuclear-transcribed mRNA	11	1	0.901375439139774	1
missMethyl_gometh	GO	hypermethylated	GO:0000292	BP	RNA fragment catabolic process	1	0	1.00000000001347	1
missMethyl_gometh	GO	hypermethylated	GO:0000293	MF	ferric-chelate reductase activity	3	1	0.654437873288344	1
missMethyl_gometh	GO	hypermethylated	GO:0000295	MF	adenine nucleotide transmembrane transporter activity	22	5	0.525067314442141	1
missMethyl_gometh	GO	hypermethylated	GO:0000296	BP	spermine transport	3	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000298	MF	endopolyphosphatase activity	5	1	0.509521308314495	1
missMethyl_gometh	GO	hypermethylated	GO:0000301	BP	retrograde transport, vesicle recycling within Golgi	9	1	0.845943774586302	1
missMethyl_gometh	GO	hypermethylated	GO:0000302	BP	response to reactive oxygen species	197	42	0.761070973418817	1
missMethyl_gometh	GO	hypermethylated	GO:0000303	BP	response to superoxide	27	6	0.563960175545639	1
missMethyl_gometh	GO	hypermethylated	GO:0000304	BP	response to singlet oxygen	1	1	0.426097943828996	1
missMethyl_gometh	GO	hypermethylated	GO:0000305	BP	response to oxygen radical	28	6	0.624444904453689	1
missMethyl_gometh	GO	hypermethylated	GO:0000307	CC	cyclin-dependent protein kinase holoenzyme complex	59	12	0.793480158440907	1
missMethyl_gometh	GO	hypermethylated	GO:0000308	CC	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	2	1	0.630821588331378	1
missMethyl_gometh	GO	hypermethylated	GO:0000309	MF	nicotinamide-nucleotide adenylyltransferase activity	3	1	0.645719014525631	1
missMethyl_gometh	GO	hypermethylated	GO:0000313	CC	organellar ribosome	88	5	0.999293745760234	1
missMethyl_gometh	GO	hypermethylated	GO:0000314	CC	organellar small ribosomal subunit	32	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000315	CC	organellar large ribosomal subunit	56	5	0.937102279795442	1
missMethyl_gometh	GO	hypermethylated	GO:0000320	BP	re-entry into mitotic cell cycle	4	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000322	CC	storage vacuole	2	1	0.347188984459088	1
missMethyl_gometh	GO	hypermethylated	GO:0000323	CC	lytic vacuole	753	142	0.997865701571154	1
missMethyl_gometh	GO	hypermethylated	GO:0000332	MF	template for synthesis of G-rich strand of telomere DNA activity	1	0	0.999999999990788	1
missMethyl_gometh	GO	hypermethylated	GO:0000333	CC	telomerase catalytic core complex	2	1	0.491410329623731	1
missMethyl_gometh	GO	hypermethylated	GO:0000334	MF	3-hydroxyanthranilate 3,4-dioxygenase activity	1	1	0.19915066819697	1
missMethyl_gometh	GO	hypermethylated	GO:0000338	BP	protein deneddylation	11	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000339	MF	RNA cap binding	19	6	0.409606020426779	1
missMethyl_gometh	GO	hypermethylated	GO:0000340	MF	RNA 7-methylguanosine cap binding	12	3	0.739518035968395	1
missMethyl_gometh	GO	hypermethylated	GO:0000346	CC	transcription export complex	12	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000347	CC	THO complex	6	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000349	BP	generation of catalytic spliceosome for first transesterification step	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000350	BP	generation of catalytic spliceosome for second transesterification step	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000353	BP	formation of quadruple SL/U4/U5/U6 snRNP	2	2	0.0720418035390154	0.656955531092823
missMethyl_gometh	GO	hypermethylated	GO:0000354	BP	cis assembly of pre-catalytic spliceosome	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000365	BP	mRNA trans splicing, via spliceosome	2	2	0.0720418035390154	0.656955531092823
missMethyl_gometh	GO	hypermethylated	GO:0000375	BP	RNA splicing, via transesterification reactions	311	31	0.999999982848829	1
missMethyl_gometh	GO	hypermethylated	GO:0000377	BP	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	307	30	0.999999990641473	1
missMethyl_gometh	GO	hypermethylated	GO:0000379	BP	tRNA-type intron splice site recognition and cleavage	3	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000380	BP	alternative mRNA splicing, via spliceosome	75	18	0.662547932192417	1
missMethyl_gometh	GO	hypermethylated	GO:0000381	BP	regulation of alternative mRNA splicing, via spliceosome	57	17	0.322806213927637	1
missMethyl_gometh	GO	hypermethylated	GO:0000386	MF	second spliceosomal transesterification activity	1	0	1.00000000000496	1
missMethyl_gometh	GO	hypermethylated	GO:0000387	BP	spliceosomal snRNP assembly	44	6	0.868837567141679	1
missMethyl_gometh	GO	hypermethylated	GO:0000388	BP	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	1	0	1.00000000001476	1
missMethyl_gometh	GO	hypermethylated	GO:0000389	BP	mRNA 3'-splice site recognition	6	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000390	BP	spliceosomal complex disassembly	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000393	BP	spliceosomal conformational changes to generate catalytic conformation	5	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000394	BP	RNA splicing, via endonucleolytic cleavage and ligation	14	1	0.914778936983253	1
missMethyl_gometh	GO	hypermethylated	GO:0000395	BP	mRNA 5'-splice site recognition	9	1	0.828839194275727	1
missMethyl_gometh	GO	hypermethylated	GO:0000398	BP	mRNA splicing, via spliceosome	307	30	0.999999990641473	1
missMethyl_gometh	GO	hypermethylated	GO:0000400	MF	four-way junction DNA binding	18	3	0.859567387117665	1
missMethyl_gometh	GO	hypermethylated	GO:0000403	MF	Y-form DNA binding	4	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000404	MF	heteroduplex DNA loop binding	1	0	0.999999999993718	1
missMethyl_gometh	GO	hypermethylated	GO:0000405	MF	bubble DNA binding	8	1	0.89530836500927	1
missMethyl_gometh	GO	hypermethylated	GO:0000407	CC	phagophore assembly site	37	5	0.982445085848132	1
missMethyl_gometh	GO	hypermethylated	GO:0000408	CC	EKC/KEOPS complex	5	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000409	BP	regulation of transcription by galactose	1	0	0.999999999969039	1
missMethyl_gometh	GO	hypermethylated	GO:0000411	BP	positive regulation of transcription by galactose	1	0	0.999999999969039	1
missMethyl_gometh	GO	hypermethylated	GO:0000413	BP	protein peptidyl-prolyl isomerization	25	2	0.927140911669079	1
missMethyl_gometh	GO	hypermethylated	GO:0000417	CC	HIR complex	1	0	1.0000000000106	1
missMethyl_gometh	GO	hypermethylated	GO:0000421	CC	autophagosome membrane	53	8	0.932862023043949	1
missMethyl_gometh	GO	hypermethylated	GO:0000422	BP	autophagy of mitochondrion	113	13	0.999628006342552	1
missMethyl_gometh	GO	hypermethylated	GO:0000423	BP	mitophagy	93	11	0.997911997510389	1
missMethyl_gometh	GO	hypermethylated	GO:0000425	BP	pexophagy	11	1	0.967402762615098	1
missMethyl_gometh	GO	hypermethylated	GO:0000428	CC	DNA-directed RNA polymerase complex	100	4	0.99999810675861	1
missMethyl_gometh	GO	hypermethylated	GO:0000429	BP	carbon catabolite regulation of transcription from RNA polymerase II promoter	6	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000430	BP	regulation of transcription from RNA polymerase II promoter by glucose	5	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000431	BP	regulation of transcription from RNA polymerase II promoter by galactose	1	0	0.999999999969039	1
missMethyl_gometh	GO	hypermethylated	GO:0000432	BP	positive regulation of transcription from RNA polymerase II promoter by glucose	5	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000435	BP	positive regulation of transcription from RNA polymerase II promoter by galactose	1	0	0.999999999969039	1
missMethyl_gometh	GO	hypermethylated	GO:0000436	BP	carbon catabolite activation of transcription from RNA polymerase II promoter	6	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000438	CC	core TFIIH complex portion of holo TFIIH complex	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000439	CC	transcription factor TFIIH core complex	11	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000444	CC	MIS12/MIND type complex	4	0	1	1
