method	collection	direction	term	ONTOLOGY	TERM	N	DE	P.DE	FDR
missMethyl_gometh	GO	hypomethylated	GO:0030335	BP	positive regulation of cell migration	587	137	0.209212950675834	1
missMethyl_gometh	GO	hypomethylated	GO:0030336	BP	negative regulation of cell migration	371	86	0.260828043707905	1
missMethyl_gometh	GO	hypomethylated	GO:0030337	MF	DNA polymerase processivity factor activity	3	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030338	MF	CMP-N-acetylneuraminate monooxygenase activity	1	0	1.00000000000871	1
missMethyl_gometh	GO	hypomethylated	GO:0030342	MF	1-alpha,25-dihydroxyvitamin D3 24-hydroxylase activity	1	0	0.999999999998423	1
missMethyl_gometh	GO	hypomethylated	GO:0030343	MF	vitamin D3 25-hydroxylase activity	3	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030345	MF	structural constituent of tooth enamel	6	1	0.68191503329798	1
missMethyl_gometh	GO	hypomethylated	GO:0030346	MF	protein phosphatase 2B binding	6	2	0.376006745434654	1
missMethyl_gometh	GO	hypomethylated	GO:0030348	MF	syntaxin-3 binding	2	1	0.453698809979108	1
missMethyl_gometh	GO	hypomethylated	GO:0030350	MF	iron-responsive element binding	3	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030351	MF	inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030352	MF	inositol-1,4,5,6-tetrakisphosphate 6-phosphatase activity	1	0	0.999999999987389	1
missMethyl_gometh	GO	hypomethylated	GO:0030354	MF	melanin-concentrating hormone activity	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030366	MF	molybdopterin synthase activity	1	0	0.999999999983755	1
missMethyl_gometh	GO	hypomethylated	GO:0030368	MF	interleukin-17 receptor activity	8	3	0.187524709364018	1
missMethyl_gometh	GO	hypomethylated	GO:0030369	MF	ICAM-3 receptor activity	3	1	0.518653602672781	1
missMethyl_gometh	GO	hypomethylated	GO:0030371	MF	translation repressor activity	291	41	0.963742976779769	1
missMethyl_gometh	GO	hypomethylated	GO:0030374	MF	nuclear receptor coactivator activity	57	11	0.614631657420284	1
missMethyl_gometh	GO	hypomethylated	GO:0030377	MF	urokinase plasminogen activator receptor activity	1	0	0.999999999981626	1
missMethyl_gometh	GO	hypomethylated	GO:0030378	MF	serine racemase activity	1	0	0.999999999999695	1
missMethyl_gometh	GO	hypomethylated	GO:0030379	MF	neurotensin receptor activity, non-G protein-coupled	1	0	0.999999999990376	1
missMethyl_gometh	GO	hypomethylated	GO:0030380	MF	interleukin-17E receptor binding	1	0	1.00000000000553	1
missMethyl_gometh	GO	hypomethylated	GO:0030382	BP	sperm mitochondrion organization	4	1	0.484555312944257	1
missMethyl_gometh	GO	hypomethylated	GO:0030388	BP	fructose 1,6-bisphosphate metabolic process	9	2	0.619465338866674	1
missMethyl_gometh	GO	hypomethylated	GO:0030389	BP	fructosamine metabolic process	2	1	0.281400715755217	1
missMethyl_gometh	GO	hypomethylated	GO:0030392	BP	fructosamine catabolic process	1	1	0.177344575153138	1
missMethyl_gometh	GO	hypomethylated	GO:0030393	BP	fructoselysine metabolic process	1	0	0.999999999993785	1
missMethyl_gometh	GO	hypomethylated	GO:0030395	MF	lactose binding	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030397	BP	membrane disassembly	13	2	0.824405179842207	1
missMethyl_gometh	GO	hypomethylated	GO:0030409	MF	glutamate formimidoyltransferase activity	1	0	0.999999999983772	1
missMethyl_gometh	GO	hypomethylated	GO:0030412	MF	formimidoyltetrahydrofolate cyclodeaminase activity	1	0	0.999999999983772	1
missMethyl_gometh	GO	hypomethylated	GO:0030414	MF	peptidase inhibitor activity	170	35	0.291548121584139	1
missMethyl_gometh	GO	hypomethylated	GO:0030421	BP	defecation	3	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030422	BP	siRNA processing	8	2	0.551229395413246	1
missMethyl_gometh	GO	hypomethylated	GO:0030424	CC	axon	653	188	0.00101070606344031	0.13478487288879
missMethyl_gometh	GO	hypomethylated	GO:0030425	CC	dendrite	628	189	9.69703348732598e-05	0.0275002959810191
missMethyl_gometh	GO	hypomethylated	GO:0030426	CC	growth cone	168	48	0.140889482303043	1
missMethyl_gometh	GO	hypomethylated	GO:0030427	CC	site of polarized growth	173	51	0.0892517573844246	1
missMethyl_gometh	GO	hypomethylated	GO:0030429	MF	kynureninase activity	1	1	0.15945998629393	1
missMethyl_gometh	GO	hypomethylated	GO:0030431	BP	sleep	24	7	0.18553245129091	1
missMethyl_gometh	GO	hypomethylated	GO:0030432	BP	peristalsis	12	2	0.785141644574612	1
missMethyl_gometh	GO	hypomethylated	GO:0030449	BP	regulation of complement activation	23	8	0.0407428861484715	1
missMethyl_gometh	GO	hypomethylated	GO:0030450	BP	regulation of complement activation, classical pathway	9	4	0.0616076898090575	1
missMethyl_gometh	GO	hypomethylated	GO:0030451	BP	regulation of complement activation, alternative pathway	6	2	0.302818946883985	1
missMethyl_gometh	GO	hypomethylated	GO:0030473	BP	nuclear migration along microtubule	5	1	0.79445799366927	1
missMethyl_gometh	GO	hypomethylated	GO:0030478	CC	actin cap	4	1	0.652412533402715	1
missMethyl_gometh	GO	hypomethylated	GO:0030485	CC	smooth muscle contractile fiber	3	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030488	BP	tRNA methylation	40	3	0.973298872291849	1
missMethyl_gometh	GO	hypomethylated	GO:0030490	BP	maturation of SSU-rRNA	53	1	0.999954487513139	1
missMethyl_gometh	GO	hypomethylated	GO:0030492	MF	hemoglobin binding	9	2	0.479312217161866	1
missMethyl_gometh	GO	hypomethylated	GO:0030496	CC	midbody	205	33	0.942317981111235	1
missMethyl_gometh	GO	hypomethylated	GO:0030497	BP	fatty acid elongation	14	4	0.312408313121722	1
missMethyl_gometh	GO	hypomethylated	GO:0030500	BP	regulation of bone mineralization	81	18	0.662595996391427	1
missMethyl_gometh	GO	hypomethylated	GO:0030501	BP	positive regulation of bone mineralization	44	11	0.577921610467937	1
missMethyl_gometh	GO	hypomethylated	GO:0030502	BP	negative regulation of bone mineralization	20	6	0.25633154897364	1
missMethyl_gometh	GO	hypomethylated	GO:0030504	MF	inorganic diphosphate transmembrane transporter activity	1	0	0.999999999985297	1
missMethyl_gometh	GO	hypomethylated	GO:0030505	BP	inorganic diphosphate transport	3	1	0.56452737920655	1
missMethyl_gometh	GO	hypomethylated	GO:0030506	MF	ankyrin binding	19	11	0.00581578733381817	0.41761826739379
missMethyl_gometh	GO	hypomethylated	GO:0030507	MF	spectrin binding	26	10	0.128394337093893	1
missMethyl_gometh	GO	hypomethylated	GO:0030509	BP	BMP signaling pathway	169	36	0.717770177798689	1
missMethyl_gometh	GO	hypomethylated	GO:0030510	BP	regulation of BMP signaling pathway	122	21	0.949275371400354	1
missMethyl_gometh	GO	hypomethylated	GO:0030511	BP	positive regulation of transforming growth factor beta receptor signaling pathway	33	7	0.708519839626648	1
missMethyl_gometh	GO	hypomethylated	GO:0030512	BP	negative regulation of transforming growth factor beta receptor signaling pathway	127	25	0.685152474554383	1
missMethyl_gometh	GO	hypomethylated	GO:0030513	BP	positive regulation of BMP signaling pathway	41	5	0.973622720595427	1
missMethyl_gometh	GO	hypomethylated	GO:0030514	BP	negative regulation of BMP signaling pathway	72	15	0.686659709918767	1
missMethyl_gometh	GO	hypomethylated	GO:0030515	MF	snoRNA binding	32	3	0.944183015860144	1
missMethyl_gometh	GO	hypomethylated	GO:0030516	BP	regulation of axon extension	82	26	0.102887999891243	1
missMethyl_gometh	GO	hypomethylated	GO:0030517	BP	negative regulation of axon extension	34	9	0.546308338714331	1
missMethyl_gometh	GO	hypomethylated	GO:0030518	BP	nuclear receptor-mediated steroid hormone signaling pathway	122	21	0.897060664783799	1
missMethyl_gometh	GO	hypomethylated	GO:0030519	MF	snoRNP binding	1	0	1.00000000000194	1
missMethyl_gometh	GO	hypomethylated	GO:0030520	BP	estrogen receptor signaling pathway	53	8	0.853769815520333	1
missMethyl_gometh	GO	hypomethylated	GO:0030521	BP	androgen receptor signaling pathway	49	9	0.808028146884104	1
missMethyl_gometh	GO	hypomethylated	GO:0030522	BP	intracellular receptor signaling pathway	381	74	0.73881801654749	1
missMethyl_gometh	GO	hypomethylated	GO:0030526	CC	granulocyte macrophage colony-stimulating factor receptor complex	3	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030527	MF	structural constituent of chromatin	80	3	0.999885864415505	1
missMethyl_gometh	GO	hypomethylated	GO:0030532	CC	small nuclear ribonucleoprotein complex	79	5	0.998982402552848	1
missMethyl_gometh	GO	hypomethylated	GO:0030534	BP	adult behavior	150	37	0.347820557845738	1
missMethyl_gometh	GO	hypomethylated	GO:0030538	BP	embryonic genitalia morphogenesis	1	0	1.00000000000115	1
missMethyl_gometh	GO	hypomethylated	GO:0030539	BP	male genitalia development	24	8	0.155794782316092	1
