gene	direction	n_probes	max_abs_delta_beta	min_fdr
AC017028.1	hypermethylated	2	0.2258144910493363	5.845195274092174e-90
AC017033.1	hypermethylated	4	0.371496583313969	1.110501803230824e-148
AC017048.1	hypermethylated	1	0.3818241611080872	0.0028649199017031
AC017100.1	hypermethylated	1	0.2288323008055663	4.75500914178948e-81
AC017101.1	hypermethylated	1	0.258354850868126	3.575094047920322e-76
AC017116.1	hypermethylated	1	0.2029808164054609	3.3097721772692327e-29
AC018358.1	hypermethylated	6	0.3519957710080268	2.0837934585868186e-152
AC018470.1	hypermethylated	7	0.2956410591267382	2.5601074293598418e-130
AC018563.1	hypermethylated	2	0.3342130505352825	2.211957820910189e-62
AC018637.1	hypermethylated	2	0.3907448913804114	2.307271386380075e-130
AC018638.5	hypermethylated	1	0.2118981660304973	6.439206984087642e-60
AC018730.1	hypermethylated	19	0.4375092955137288	4.535004310301271e-175
AC018755.3	hypermethylated	1	0.3020103931184628	1.3216310601773308e-42
AC019068.1	hypermethylated	14	0.3829361319981622	1.9339795845708984e-140
AC019171.1	hypermethylated	2	0.2531302485253813	4.670804638283362e-120
AC019205.1	hypermethylated	1	0.2451148339666928	1.0601514045659146e-55
AC019257.1	hypermethylated	2	0.2299590327768673	2.957862166865966e-57
