gene	function
PRKAR1B-AS1	PRKAR1B antisense RNA 1 (non-coding RNA; limited characterised function).
PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta — cAMP is a signaling molecule important for a variety of cellular functions. cAMP exerts its effects by activating the cAMP-dependent protein kinase, which transduces the signal through phosphorylation of different target proteins.
PRKAR2B-AS1	PRKAR2B antisense RNA 1 (non-coding RNA; limited characterised function).
PRKCA	protein kinase C alpha — Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and the second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are kno...
PRKCA-AS1	PRKCA antisense RNA 1 (non-coding RNA; limited characterised function).
PRKCB	protein kinase C beta — Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are known t...
PRKCE	protein kinase C epsilon — Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and the second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are kno...
PRKCG	protein kinase C gamma — Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are known t...
PRKCH	protein kinase C eta — Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and the second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are kno...
PRKCQ	protein kinase C theta — Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and the second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are kno...
PRKCQ-AS1	PRKCQ antisense RNA 1 (non-coding RNA; limited characterised function).
PRKCZ	protein kinase C zeta — Protein kinase C (PKC) zeta is a member of the PKC family of serine/threonine kinases which are involved in a variety of cellular processes such as proliferation, differentiation and secretion. Unlike the classical PKC isoenzymes which a...
PRKD1	protein kinase D1 — The protein encoded by this gene is a serine/threonine protein kinase involved in many cellular processes, including Golgi body membrane integrity and transport, cell migration and differentiation, MAPK8/JNK1 and Ras pathway signaling, M...
PRKG1	protein kinase cGMP-dependent 1 — Mammals have three different isoforms of cyclic GMP-dependent protein kinase (Ialpha, Ibeta, and II). These PRKG isoforms act as key mediators of the nitric oxide/cGMP signaling pathway and are important components of many signal transdu...
PRKG1-AS1	PRKG1 antisense RNA 1 (non-coding RNA; limited characterised function).
PRKG2	protein kinase cGMP-dependent 2 — This gene encodes a protein that belongs to the serine/threonine protein kinase family of proteins. The encoded protein binds to and inhibits the activation of several receptor tyrosine kinases.
PRKG2-AS1	PRKG2 antisense RNA 1 (non-coding RNA; limited characterised function).
PRKN	parkin RBR E3 ubiquitin protein ligase — The precise function of this gene is unknown; however, the encoded protein is a component of a multiprotein E3 ubiquitin ligase complex that mediates the targeting of substrate proteins for proteasomal degradation. Mutations in this gene...
PRKRA	protein activator of interferon induced protein kinase EIF2AK2 — This gene encodes a protein kinase activated by double-stranded RNA which mediates the effects of interferon in response to viral infection. Mutations in this gene have been associated with dystonia.
PRLHR	prolactin releasing hormone receptor — PRLHR is a 7-transmembrane domain receptor for prolactin-releasing hormone (PRLH; MIM 602663) that is highly expressed in anterior pituitary (Ozawa et al., 2002 [PubMed 11923475]).[supplied by OMIM, Mar 2008]
PRLR	prolactin receptor — This gene encodes a receptor for the anterior pituitary hormone, prolactin, and belongs to the type I cytokine receptor family. Prolactin-dependent signaling occurs as the result of ligand-induced dimerization of the prolactin receptor.
PRM3	protamine 3 — Predicted to enable DNA binding activity. Predicted to be involved in flagellated sperm motility.
PRMT1	protein arginine methyltransferase 1 — This gene encodes a member of the protein arginine N-methyltransferase (PRMT) family. Post-translational modification of target proteins by PRMTs plays an important regulatory role in many biological processes, whereby PRMTs methylate ar...
PRMT2	protein arginine methyltransferase 2 — Enables several functions, including nuclear receptor binding activity; peroxisome proliferator activated receptor binding activity; and protein homodimerization activity. Involved in several processes, including histone methylation; reg...
PRMT3	protein arginine methyltransferase 3 — This gene belongs to the protein arginine methyltransferase (PRMT) family. The encoded enzyme catalyzes the methylation of guanidino nitrogens of arginyl residues of proteins.
PRMT8	protein arginine methyltransferase 8 — Arginine methylation is a widespread posttranslational modification mediated by arginine methyltransferases, such as PRMT8. Arginine methylation is involved in a number of cellular processes, including DNA repair, RNA transcription, sign...
PRNP	prion protein (Kanno blood group) — The protein encoded by this gene is a membrane glycosylphosphatidylinositol-anchored glycoprotein that tends to aggregate into rod-like structures. The encoded protein contains a highly unstable region of five tandem octapeptide repeats.
PROB1	proline rich basic protein 1 — Located in nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]
PROC	protein C, inactivator of coagulation factors Va and VIIIa — This gene encodes a vitamin K-dependent plasma glycoprotein. The encoded protein is cleaved to its activated form by the thrombin-thrombomodulin complex.
PROCA1	protein interacting with cyclin A1 — Enables cyclin binding activity. Predicted to be involved in arachidonic acid secretion and phospholipid metabolic process.
PROK1	prokineticin 1 — The protein encoded by this gene induces proliferation, migration, and fenestration (the formation of membrane discontinuities) in capillary endothelial cells derived from endocrine glands. It has little or no effect on a variety of othe...
PROKR2	prokineticin receptor 2 — Prokineticins are secreted proteins that can promote angiogenesis and induce strong gastrointestinal smooth muscle contraction. The protein encoded by this gene is an integral membrane protein and G protein-coupled receptor for prokineti...
PROM1	prominin 1 — This gene encodes a pentaspan transmembrane glycoprotein. The protein localizes to membrane protrusions and is often expressed on adult stem cells, where it is thought to function in maintaining stem cell properties by suppressing differ...
PROM2	prominin 2 — This gene encodes a member of the prominin family of pentaspan membrane glycoproteins. The encoded protein localizes to basal epithelial cells and may be involved in the organization of plasma membrane microdomains.
PRORP	protein only RNase P catalytic subunit — Enables ribonuclease P activity. Involved in mitochondrial tRNA 5'-end processing.
PROSER1	proline and serine rich 1 — This gene encodes a conserved protein containing proline and serine rich regions. These regions may be important in protein-protein interactions.
PROSER3	proline and serine rich 3
PROX1	prospero homeobox 1 — The protein encoded by this gene is a member of the homeobox transcription factor family. Members of this family contain a homeobox domain that consists of a 60-amino acid helix-turn-helix structure that binds DNA and RNA.
PROX1-AS1	PROX1 antisense RNA 1 (non-coding RNA; limited characterised function).
PROZ	protein Z, vitamin K dependent plasma glycoprotein — This gene encodes a liver vitamin K-dependent glycoprotein that is synthesized in the liver and secreted into the plasma. The encoded protein plays a role in regulating blood coagulation by complexing with protein Z-dependent protease in...
PRPF19	pre-mRNA processing factor 19 — PSO4 is the human homolog of yeast Pso4, a gene essential for cell survival and DNA repair (Beck et al., 2008 [PubMed 18263876]).[supplied by OMIM, Sep 2008]
PRPF40B	pre-mRNA processing factor 40B — This gene encodes a WW-domain containing protein similar to yeast splicing factor PRP40. This protein has been shown to interact with Huntingtin and methyl CpG binding protein 2 (MeCP2).
PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1 — Enables identical protein binding activity. Predicted to be involved in 5-phosphoribose 1-diphosphate biosynthetic process and purine nucleotide biosynthetic process.
PRR14	proline rich 14 — The protein encoded by this gene tethers heterochromatin to the nuclear laminar scaffold by binding heterochromatin protein 1 (HP1) and the nuclear lamina. The tether is broken during mitosis and reforms quickly after mitosis, with the e...
PRR14L	proline rich 14 like
PRR15	proline rich 15
PRR15L	proline rich 15 like
PRR18	proline rich 18
PRR23B	proline rich 23B
PRR35	proline rich 35
PRR36	proline rich 36 — This gene encodes a large protein of unknown function that contains internal regions of low complexity sequence. Alternative splicing results in multiple transcript variants.
PRR5	proline rich 5 — This gene encodes a protein with a proline-rich domain. This gene is located in a region of chromosome 22 reported to contain a tumor suppressor gene that may be involved in breast and colorectal tumorigenesis.
PRR5-ARHGAP8	PRR5-ARHGAP8 readthrough — The PRR5-ARHGAP8 mRNA is an infrequent but naturally occurring read-through transcript of the neighboring proline rich 5, renal (PRR5) and Rho GTPase activating protein 8 (ARHGAP8) genes. The resulting fusion protein contains sequence id...
PRR5L	proline rich 5 like — Enables ubiquitin protein ligase binding activity. Involved in several processes, including TORC2 signaling; positive regulation of mRNA catabolic process; and regulation of fibroblast migration.
PRRC2A	proline rich coiled-coil 2A — A cluster of genes, BAT1-BAT5, has been localized in the vicinity of the genes for TNF alpha and TNF beta. These genes are all within the human major histocompatibility complex class III region.
PRRC2C	proline rich coiled-coil 2C — Enables protein C-terminus binding activity. Involved in stress granule assembly.
PRRG1	proline rich and Gla domain 1 — This gene encodes a vitamin K-dependent, gamma-carboxyglutamic acid (Gla)-containing, single-pass transmembrane protein. This protein contains a Gla domain at the N-terminus, preceded by a propeptide sequence required for post-translatio...
PRRG3	proline rich and Gla domain 3 — This gene encodes a protein which contains a vitamin K-dependent carboxylation/gamma-carboxyglutamic domain. The encoded protein is a member of a family of vitamin K-dependent transmembrane proteins which contain a glutamate-rich extrace...
PRRT1	proline rich transmembrane protein 1 — Enables identical protein binding activity. Predicted to be involved in several processes, including long-term synaptic depression; protein localization to cell surface; and regulation of AMPA receptor activity.
PRRT1B	proline rich transmembrane protein 1B — Predicted to be integral component of membrane. Predicted to be active in membrane.
PRRT4	proline rich transmembrane protein 4 — Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]
PRRX1	paired related homeobox 1 — The DNA-associated protein encoded by this gene is a member of the paired family of homeobox proteins localized to the nucleus. The protein functions as a transcription co-activator, enhancing the DNA-binding activity of serum response f...
PRRX2	paired related homeobox 2 — The DNA-associated protein encoded by this gene is a member of the paired family of homeobox proteins. Expression is localized to proliferating fetal fibroblasts and the developing dermal layer, with downregulated expression in adult skin.
PRRX2-AS1	PRRX2 antisense RNA 1 (non-coding RNA; limited characterised function).
PRSS22	serine protease 22 — This gene encodes a member of the trypsin family of serine proteases. The enzyme is expressed in the airways in a developmentally regulated manner.
PRSS23	serine protease 23 — This gene encodes a conserved member of the trypsin family of serine proteases. Mouse studies found a decrease of mRNA levels of this gene after ovulation was induced.
PRSS27	serine protease 27 — This gene is located within a large protease gene cluster on chromosome 16. It belongs to the group-1 subfamily of serine proteases.
PRSS30P	serine protease 30, pseudogene (pseudogene).
PRSS35	serine protease 35 — Predicted to be located in extracellular region. [provided by Alliance of Genome Resources, Apr 2022]
PRSS41	serine protease 41 — Predicted to enable sodium channel regulator activity. Predicted to be involved in proteolysis.
PRSS51	serine protease 51 — Predicted to enable serine-type endopeptidase activity. Predicted to be involved in proteolysis.
PRSS55	serine protease 55 — This gene encodes a member of a group of membrane-anchored chymotrypsin (S1)-like serine proteases. The enocoded protein is primarily expressed in the Leydig and Sertoli cells of the testis and may be involved in male fertility.
PRSS56	serine protease 56 — This gene encodes a protein that contains a peptidase S1 domain and possesses trypsin-like serine protease activity. The encoded protein may play a role in eye development, and mutations in this gene are a cause of autosomal recessive po...
PRSS58	serine protease 58 — This gene encodes a member of the trypsin family of serine proteases. This gene and several related trypsinogen genes are localized to the T cell receptor beta locus on chromosome 7.
PRTFDC1	phosphoribosyl transferase domain containing 1 — Enables protein homodimerization activity. Predicted to be involved in purine ribonucleoside salvage.
PRUNE1	prune exopolyphosphatase 1 — This gene encodes a member of the DHH protein superfamily of phosphoesterases. This protein has been found to function as both a nucleotide phosphodiesterase and an exopolyphosphatase.
PRUNE2	prune homolog 2 with BCH domain — The protein encoded by this gene belongs to the B-cell CLL/lymphoma 2 and adenovirus E1B 19 kDa interacting family, whose members play roles in many cellular processes including apotosis, cell transformation, and synaptic function. Sever...
PRX	periaxin — This gene encodes a protein involved in peripheral nerve myelin upkeep. The encoded protein contains 2 PDZ domains which were named after PSD95 (post synaptic density protein), DlgA (Drosophila disc large tumor suppressor), and ZO1 (a ma...
PRXL2B	peroxiredoxin like 2B — Predicted to enable antioxidant activity and prostaglandin-F synthase activity. Predicted to be involved in prostaglandin biosynthetic process.
PSAPL1	prosaposin like 1 — This gene encodes a protein that is related to the glycoprotein prosaposin. Based on sequence similarity between the encoded protein and prosaposin, it is predicted that the encoded protein is a preproprotein that is proteolytically proc...
PSCA	prostate stem cell antigen — This gene encodes a glycosylphosphatidylinositol-anchored cell membrane glycoprotein. In addition to being highly expressed in the prostate it is also expressed in the bladder, placenta, colon, kidney, and stomach.
PSD	pleckstrin and Sec7 domain containing — This gene encodes a Plekstrin homology and SEC7 domains-containing protein that functions as a guanine nucleotide exchange factor. The encoded protein regulates signal transduction by activating ADP-ribosylation factor 6.
PSD2	pleckstrin and Sec7 domain containing 2 — Predicted to enable guanyl-nucleotide exchange factor activity and phospholipid binding activity. Predicted to be involved in regulation of ARF protein signal transduction and regulation of catalytic activity.
PSD3	pleckstrin and Sec7 domain containing 3 — Predicted to enable guanyl-nucleotide exchange factor activity and phospholipid binding activity. Predicted to be involved in regulation of ARF protein signal transduction and regulation of catalytic activity.
PSD4	pleckstrin and Sec7 domain containing 4 — Predicted to enable guanyl-nucleotide exchange factor activity and phospholipid binding activity. Predicted to be involved in regulation of ARF protein signal transduction and regulation of catalytic activity.
PSG9	pregnancy specific beta-1-glycoprotein 9 — The protein encoded by this gene is a member of the pregnancy-specific glycoprotein (PSG) family. This protein family and the closely related carcinoembryonic antigen cell adhesion molecule (CEACAM) gene family are both members of the im...
PSKH2	protein serine kinase H2 — Predicted to enable ATP binding activity; protein serine kinase activity; and protein serine/threonine kinase activity. Predicted to be involved in protein phosphorylation.
PSMA1	proteasome 20S subunit alpha 1 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMA2	proteasome 20S subunit alpha 2 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMA3	proteasome 20S subunit alpha 3 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMA4	proteasome 20S subunit alpha 4 — This gene encodes a core alpha subunit of the 20S proteosome, which is a highly ordered ring-shaped structure composed of four rings of 28 non-identical subunits. Proteasomes cleave peptides in an ATP- and ubiquitin-dependent manner.
PSMA5	proteasome 20S subunit alpha 5 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMA6	proteasome 20S subunit alpha 6 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMA7	proteasome 20S subunit alpha 7 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMA8	proteasome 20S subunit alpha 8 — Predicted to be involved in meiotic cell cycle and proteasomal protein catabolic process. Located in extracellular exosome and nucleus.
PSMB1	proteasome 20S subunit beta 1 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMB10	proteasome 20S subunit beta 10 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMB2	proteasome 20S subunit beta 2 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMB3	proteasome 20S subunit beta 3 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMB4	proteasome 20S subunit beta 4 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMB5	proteasome 20S subunit beta 5 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMB6	proteasome 20S subunit beta 6 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMB7	proteasome 20S subunit beta 7 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMB8	proteasome 20S subunit beta 8 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMB9	proteasome 20S subunit beta 9 — The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are...
PSMC2	proteasome 26S subunit, ATPase 2 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMC3	proteasome 26S subunit, ATPase 3 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMC4	proteasome 26S subunit, ATPase 4 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMC5	proteasome 26S subunit, ATPase 5 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMC6	proteasome 26S subunit, ATPase 6 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMD1	proteasome 26S subunit, non-ATPase 1 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMD11	proteasome 26S subunit, non-ATPase 11 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMD12	proteasome 26S subunit, non-ATPase 12 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMD13	proteasome 26S subunit, non-ATPase 13 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMD14	proteasome 26S subunit, non-ATPase 14 — This gene encodes a component of the 26S proteasome. The 26S proteasome is a large multiprotein complex that catalyzes the degradation of ubiquitinated intracellular proteins.
PSMD2	proteasome 26S subunit ubiquitin receptor, non-ATPase 2 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMD3	proteasome 26S subunit, non-ATPase 3 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMD4	proteasome 26S subunit ubiquitin receptor, non-ATPase 4 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMD5	proteasome 26S subunit, non-ATPase 5 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMD6	proteasome 26S subunit, non-ATPase 6 — This gene encodes a member of the protease subunit S10 family. The encoded protein is a subunit of the 26S proteasome which colocalizes with DNA damage foci and is involved in the ATP-dependent degradation of ubiquinated proteins.
PSMD7	proteasome 26S subunit, non-ATPase 7 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMD8	proteasome 26S subunit, non-ATPase 8 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMD9	proteasome 26S subunit, non-ATPase 9 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSME1	proteasome activator subunit 1 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSME2	proteasome activator subunit 2 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSME3	proteasome activator subunit 3 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSME3IP1	proteasome activator subunit 3 interacting protein 1 — Involved in negative regulation of proteasomal protein catabolic process and negative regulation of protein binding activity. Located in nucleus.
PSMF1	proteasome inhibitor subunit 1 — The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of...
PSMG1	proteasome assembly chaperone 1 — Enables molecular adaptor activity. Involved in chaperone-mediated protein complex assembly.
PSMG3	proteasome assembly chaperone 3 — Enables molecular adaptor activity. Involved in chaperone-mediated protein complex assembly.
PSMG3-AS1	PSMG3 antisense RNA 1 (non-coding RNA; limited characterised function).
PSMG4	proteasome assembly chaperone 4 — Predicted to be involved in proteasome assembly. Predicted to be part of protein-containing complex.
PSORS1C1	psoriasis susceptibility 1 candidate 1 — This gene is one of several genes thought to confer susceptibility to psoriasis and systemic sclerosis, located on chromosome 6 near the major histocompatibility complex (MHC) class I region. [provided by RefSeq, Sep 2011].
PSTK	phosphoseryl-tRNA kinase — Predicted to enable kinase activity and tRNA binding activity. Predicted to be involved in phosphorylation; selenocysteinyl-tRNA(Sec) biosynthetic process; and translation.
PSTPIP1	proline-serine-threonine phosphatase interacting protein 1 — This gene encodes a cytoskeletal protein that is highly expressed in hemopoietic tissues. This protein functions via its interaction with several different proteins involved in cytoskeletal organization and inflammatory processes.
PTCH1	patched 1 — This gene encodes a member of the patched family of proteins and a component of the hedgehog signaling pathway. Hedgehog signaling is important in embryonic development and tumorigenesis.
PTCHD3P3	patched domain containing 3 pseudogene 3 (pseudogene).
PTCSC2	papillary thyroid carcinoma susceptibility candidate 2
PTDSS1	phosphatidylserine synthase 1 — The protein encoded by this gene catalyzes the formation of phosphatidylserine from either phosphatidylcholine or phosphatidylethanolamine. Phosphatidylserine localizes to the mitochondria-associated membrane of the endoplasmic reticulum...
PTF1A	pancreas associated transcription factor 1a — This gene encodes a protein that is a component of the pancreas transcription factor 1 complex (PTF1) and is known to have a role in mammalian pancreatic development. The protein plays a role in determining whether cells allocated to the...
PTGDR	prostaglandin D2 receptor — This gene encodes a member of the guanine nucleotide-binding protein (G protein)-coupled receptor (GPCR) superfamily. The receptors are seven-pass transmembrane proteins that respond to extracellular cues and activate intracellular signa...
PTGDR2	prostaglandin D2 receptor 2 — This gene encodes a G-protein-coupled receptor that is preferentially expressed in CD4+ effector T helper 2 (Th2) cells. This protein is a prostaglandin D2 receptor that mediates the pro-inflammatory chemotaxis of eosinophils, basophils,...
PTGDS	prostaglandin D2 synthase — The protein encoded by this gene is a glutathione-independent prostaglandin D synthase that catalyzes the conversion of prostaglandin H2 (PGH2) to postaglandin D2 (PGD2). PGD2 functions as a neuromodulator as well as a trophic factor in...
PTGER2	prostaglandin E receptor 2 — This gene encodes a receptor for prostaglandin E2, a metabolite of arachidonic acid which has different biologic activities in a wide range of tissues. Mutations in this gene are associated with aspirin-induced susceptibility to asthma.
PTGER4	prostaglandin E receptor 4 — The protein encoded by this gene is a member of the G-protein coupled receptor family. This protein is one of four receptors identified for prostaglandin E2 (PGE2).
PTGES	prostaglandin E synthase — The protein encoded by this gene is a glutathione-dependent prostaglandin E synthase. The expression of this gene has been shown to be induced by proinflammatory cytokine interleukin 1 beta (IL1B).
PTGES3	prostaglandin E synthase 3 — This gene encodes an enzyme that converts prostaglandin endoperoxide H2 (PGH2) to prostaglandin E2 (PGE2). This protein functions as a co-chaperone with heat shock protein 90 (HSP90), localizing to response elements in DNA and disrupting...
PTGIS	prostaglandin I2 synthase — This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids.
PTGS1	prostaglandin-endoperoxide synthase 1 — This is one of two genes encoding similar enzymes that catalyze the conversion of arachidonate to prostaglandin. The encoded protein regulates angiogenesis in endothelial cells, and is inhibited by nonsteroidal anti-inflammatory drugs su...
PTGS2	prostaglandin-endoperoxide synthase 2 — Prostaglandin-endoperoxide synthase (PTGS), also known as cyclooxygenase, is the key enzyme in prostaglandin biosynthesis, and acts both as a dioxygenase and as a peroxidase. There are two isozymes of PTGS: a constitutive PTGS1 and an in...
PTH1R	parathyroid hormone 1 receptor — The protein encoded by this gene is a member of the G-protein coupled receptor family 2. This protein is a receptor for parathyroid hormone (PTH) and for parathyroid hormone-like hormone (PTHLH).
PTH2	parathyroid hormone 2 — This gene encodes the precursor of a peptide hormone that shares sequence similarity with the parathyroid hormone. This gene is expressed in various regions of the brain where it plays a role in the release of pituitary hormones, anxiety...
PTH2R	parathyroid hormone 2 receptor — The protein encoded by this gene is a member of the G-protein coupled receptor 2 family. This protein is a receptor for parathyroid hormone (PTH).
PTHLH	parathyroid hormone like hormone — The protein encoded by this gene is a member of the parathyroid hormone family. This hormone, via its receptor, PTHR1, regulates endochondral bone development and epithelial-mesenchymal interactions during the formation of the mammary gl...
PTK2	protein tyrosine kinase 2 — This gene encodes a cytoplasmic protein tyrosine kinase which is found concentrated in the focal adhesions that form between cells growing in the presence of extracellular matrix constituents. The encoded protein is a member of the FAK s...
PTK6	protein tyrosine kinase 6 — The protein encoded by this gene is a cytoplasmic nonreceptor protein kinase which may function as an intracellular signal transducer in epithelial tissues. Overexpression of this gene in mammary epithelial cells leads to sensitization o...
PTK7	protein tyrosine kinase 7 (inactive) — This gene encodes a member of the receptor protein tyrosine kinase family of proteins that transduce extracellular signals across the cell membrane. The encoded protein lacks detectable catalytic tyrosine kinase activity, is involved in...
PTN	pleiotrophin — The protein encoded by this gene is a secreted heparin-binding growth factor. The protein has significant roles in cell growth and survival, cell migration, angiogenesis and tumorigenesis.
