gene	function
AC009951.6	(no annotation found)
AC009965.1	(no annotation found)
AC009970.1	(no annotation found)
AC010173.1	(no annotation found)
AC010184.1	(no annotation found)
AC010197.2	(no annotation found)
AC010198.2	(no annotation found)
AC010203.1	(no annotation found)
AC010210.1	(no annotation found)
AC010226.1	(no annotation found)
AC010255.2	(no annotation found)
AC010280.1	(no annotation found)
AC010280.2	(no annotation found)
AC010280.3	(no annotation found)
AC010307.3	(no annotation found)
AC010327.2	(no annotation found)
AC010327.4	(no annotation found)
AC010332.3	(no annotation found)
AC010342.1	(no annotation found)
AC010343.3	(no annotation found)
AC010401.1	(no annotation found)
AC010420.1	(no annotation found)
AC010422.3	(no annotation found)
AC010422.6	(no annotation found)
AC010451.1	(no annotation found)
AC010457.1	(no annotation found)
AC010463.1	(no annotation found)
AC010478.1	(no annotation found)
AC010501.2	(no annotation found)
AC010519.1	(no annotation found)
AC010542.4	(no annotation found)
AC010547.1	(no annotation found)
AC010547.4	(no annotation found)
AC010601.1	(no annotation found)
AC010618.3	(no annotation found)
AC010624.3	(no annotation found)
AC010634.1	(no annotation found)
AC010646.1	(no annotation found)
AC010731.2	(no annotation found)
AC010745.2	(no annotation found)
AC010872.1	(no annotation found)
AC010894.1	(no annotation found)
AC010894.2	(no annotation found)
AC010894.3	(no annotation found)
AC010907.1	(no annotation found)
AC010931.2	(no annotation found)
AC010997.3	(no annotation found)
AC011008.2	(no annotation found)
AC011092.2	(no annotation found)
AC011124.1	(no annotation found)
AC011124.2	(no annotation found)
AC011239.2	(no annotation found)
AC011246.1	(no annotation found)
AC011287.1	(no annotation found)
AC011294.1	(no annotation found)
AC011306.1	(no annotation found)
AC011346.1	(no annotation found)
AC011363.1	(no annotation found)
AC011369.1	(no annotation found)
AC011396.2	(no annotation found)
AC011416.4	(no annotation found)
AC011447.3	(no annotation found)
AC011448.1	(no annotation found)
AC011450.1	(no annotation found)
AC011451.3	(no annotation found)
AC011452.1	(no annotation found)
AC011453.1	(no annotation found)
AC011473.2	(no annotation found)
AC011473.4	(no annotation found)
AC011474.1	(no annotation found)
AC011474.2	(no annotation found)
AC011481.3	(no annotation found)
AC011483.1	(no annotation found)
AC011484.1	(no annotation found)
AC011495.3	(no annotation found)
AC011504.1	(no annotation found)
AC011505.1	(no annotation found)
AC011509.2	(no annotation found)
AC011511.5	(no annotation found)
AC011523.1	(no annotation found)
AC011524.2	(no annotation found)
AC011591.2	(no annotation found)
AC011603.2	(no annotation found)
AC011603.3	(no annotation found)
AC011611.3	(no annotation found)
AC011632.1	(no annotation found)
AC011676.3	(no annotation found)
AC011676.5	(no annotation found)
AC011700.1	(no annotation found)
AC011754.1	(no annotation found)
AC011773.3	(no annotation found)
AC011815.2	(no annotation found)
AC011824.2	(no annotation found)
AC011899.1	(no annotation found)
AC011933.4	(no annotation found)
AC011990.1	(no annotation found)
AC011995.1	(no annotation found)
AC011995.2	(no annotation found)
AC012063.1	(no annotation found)
AC012101.2	(no annotation found)
AC012123.1	(no annotation found)
AC012158.1	(no annotation found)
AC012174.1	(no annotation found)
AC012213.1	(no annotation found)
AC012213.5	(no annotation found)
AC012306.3	(no annotation found)
AC012313.10	(no annotation found)
AC012313.2	(no annotation found)
AC012313.3	(no annotation found)
AC012313.8	(no annotation found)
AC012317.1	(no annotation found)
AC012349.1	(no annotation found)
AC012354.4	(no annotation found)
AC012354.5	(no annotation found)
AC012354.7	(no annotation found)
AC012354.8	(no annotation found)
AC012354.9	(no annotation found)
AC012378.2	(no annotation found)
AC012456.1	(no annotation found)
AC012485.1	(no annotation found)
AC012501.2	(no annotation found)
AC012508.1	(no annotation found)
AC012508.2	(no annotation found)
AC012508.3	(no annotation found)
AC012531.1	(no annotation found)
AC012531.2	(no annotation found)
AC012531.3	(no annotation found)
AC012531.7	(no annotation found)
AC012560.1	(no annotation found)
AC012574.1	(no annotation found)
AC012574.2	(no annotation found)
AC012613.1	(no annotation found)
AC012613.2	(no annotation found)
AC012615.3	(no annotation found)
AC012618.3	(no annotation found)
AC012640.1	(no annotation found)
AC012645.1	(no annotation found)
AC012668.3	(no annotation found)
AC013270.1	(no annotation found)
AC013287.1	(no annotation found)
AC013394.1	(no annotation found)
AC013460.1	(no annotation found)
